location_name,latitude,longitude,province,city,barangay,farm_name,farm_type,outbreak_date,reported_date,status,total_pigs_affected,total_pigs_mortality,total_pigs_depopulated,severity_level
"Imus Area 1",14.4817,120.9977,CALABARZON,Imus,"Bagong Silang","Farm 1 - Imus",semi-commercial,2025-09-01,"2025-09-02 10:00:00",resolved,132,37,93,high
"Calamba Area 2",14.1611,121.1193,CALABARZON,Calamba,"San Roque","Farm 2 - Calamba",semi-commercial,2025-09-01,"2025-09-02 07:00:00",resolved,273,42,101,medium
"Imus Area 3",14.3397,121.0267,CALABARZON,Imus,"Sta. Ana","Farm 3 - Imus",semi-commercial,2025-09-02,"2025-09-02 17:00:00",contained,45,21,1,critical
"Batangas City Area 4",13.8435,121.1253,CALABARZON,"Batangas City",,"Farm 4 - Batangas City",backyard,2025-09-02,"2025-09-04 15:00:00",confirmed,222,42,88,critical
"Cainta Area 5",14.6611,121.0472,CALABARZON,Cainta,Masagana,,backyard,2025-09-02,"2025-09-02 21:00:00",suspected,15,3,6,
"Santa Rosa Area 6",14.3937,121.1757,CALABARZON,"Santa Rosa","San Miguel","Farm 6 - Santa Rosa",backyard,2025-09-03,"2025-09-05 04:00:00",suspected,73,24,55,medium
"Lipa Area 7",13.8597,121.2613,CALABARZON,Lipa,,,backyard,2025-09-04,"2025-09-04 12:00:00",confirmed,35,15,17,low
"Dasmarinas Area 8",14.2804,120.9977,CALABARZON,Dasmarinas,"Barangay 1",,semi-commercial,2025-09-04,"2025-09-05 10:00:00",suspected,410,215,296,
"Lipa Area 9",13.8727,121.1103,CALABARZON,Lipa,Maligaya,"Farm 9 - Lipa",commercial,2025-09-04,"2025-09-05 23:00:00",contained,187,37,5,high
"Angono Area 10",14.5556,121.1474,CALABARZON,Angono,,"Farm 10 - Angono",backyard,2025-09-06,"2025-09-07 09:00:00",confirmed,281,86,59,high
"Santa Rosa Area 11",14.2677,121.0447,CALABARZON,"Santa Rosa","Bagong Silang","Farm 11 - Santa Rosa",commercial,2025-09-06,"2025-09-08 12:00:00",confirmed,6,4,0,medium
"Gumaca Area 12",13.9237,122.088,CALABARZON,Gumaca,"San Jose","Farm 12 - Gumaca",commercial,2025-09-06,"2025-09-07 16:00:00",confirmed,47,4,28,medium
"Batangas City Area 13",13.7125,121.1573,CALABARZON,"Batangas City","San Antonio","Farm 13 - Batangas City",backyard,2025-09-07,"2025-09-07 10:00:00",suspected,208,5,25,high
"Dasmarinas Area 14",14.2784,120.9607,CALABARZON,Dasmarinas,Poblacion,"Farm 14 - Dasmarinas",backyard,2025-09-07,"2025-09-08 20:00:00",suspected,200,46,103,medium
"Cainta Area 15",14.5911,121.0382,CALABARZON,Cainta,"Barangay 2",,commercial,2025-09-08,"2025-09-10 18:00:00",resolved,402,267,107,
"Tagaytay Area 16",14.114,120.9063,CALABARZON,Tagaytay,Villa,"Farm 16 - Tagaytay",semi-commercial,2025-09-08,"2025-09-09 01:00:00",resolved,201,10,14,high
"Cainta Area 17",14.6261,121.1862,CALABARZON,Cainta,"San Roque","Farm 17 - Cainta",wild_boar,2025-09-09,"2025-09-10 23:00:00",contained,381,25,284,critical
"San Pedro Area 18",14.3757,120.972,CALABARZON,"San Pedro",Mabuhay,"Farm 18 - San Pedro",wild_boar,2025-09-09,"2025-09-11 15:00:00",confirmed,399,1,171,high
"Tayabas Area 19",14.0747,121.5723,CALABARZON,Tayabas,Sampaguita,"Farm 19 - Tayabas",backyard,2025-09-10,"2025-09-10 15:00:00",confirmed,220,100,45,
"Dasmarinas Area 20",14.3814,121.0017,CALABARZON,Dasmarinas,"San Isidro","Farm 20 - Dasmarinas",semi-commercial,2025-09-11,"2025-09-13 19:00:00",confirmed,458,34,55,high
"Lipa Area 21",13.9527,121.2533,CALABARZON,Lipa,,,wild_boar,2025-09-11,"2025-09-11 17:00:00",confirmed,382,70,216,critical
"Lucena Area 22",14.0003,121.6607,CALABARZON,Lucena,,,backyard,2025-09-12,"2025-09-13 11:00:00",resolved,197,0,9,critical
"Imus Area 23",14.4427,120.9297,CALABARZON,Imus,,,wild_boar,2025-09-12,"2025-09-13 09:00:00",confirmed,473,7,177,
"Biñan Area 24",14.2493,121.0943,CALABARZON,Biñan,,,backyard,2025-09-12,"2025-09-12 06:00:00",confirmed,13,3,5,medium
"Tanauan Area 25",14.0723,121.105,CALABARZON,Tanauan,,,wild_boar,2025-09-13,"2025-09-13 06:00:00",resolved,194,35,157,high
"Santa Rosa Area 26",14.3717,121.0977,CALABARZON,"Santa Rosa",Bagumbayan,"Farm 26 - Santa Rosa",backyard,2025-09-14,"2025-09-14 08:00:00",suspected,338,77,279,low
"Los Baños Area 27",14.1037,121.3023,CALABARZON,"Los Baños","San Antonio","Farm 27 - Los Baños",backyard,2025-09-14,"2025-09-15 09:00:00",contained,334,27,269,medium
"Imus Area 28",14.3577,120.9117,CALABARZON,Imus,"Sta. Maria","Farm 28 - Imus",commercial,2025-09-15,"2025-09-17 02:00:00",suspected,48,38,39,high
"Santa Rosa Area 29",14.2277,121.1797,CALABARZON,"Santa Rosa",,"Farm 29 - Santa Rosa",semi-commercial,2025-09-15,"2025-09-17 20:00:00",confirmed,500,394,363,critical
"Tagaytay Area 30",14.127,121.0013,CALABARZON,Tagaytay,Masagana,"Farm 30 - Tagaytay",semi-commercial,2025-09-18,"2025-09-20 04:00:00",confirmed,159,31,33,low
"Antipolo Area 31",14.5462,121.2713,CALABARZON,Antipolo,"San Jose","Farm 31 - Antipolo",backyard,2025-09-18,"2025-09-18 04:00:00",suspected,309,174,30,
"Calamba Area 32",14.1371,121.0893,CALABARZON,Calamba,,,wild_boar,2025-09-19,"2025-09-21 08:00:00",confirmed,450,284,264,critical
"Tanauan Area 33",14.0583,121.158,CALABARZON,Tanauan,Poblacion,"Farm 33 - Tanauan",commercial,2025-09-19,"2025-09-20 22:00:00",resolved,83,24,2,low
"Biñan Area 34",14.4093,121.1123,CALABARZON,Biñan,Maligaya,"Farm 34 - Biñan",wild_boar,2025-09-20,"2025-09-22 05:00:00",contained,413,90,83,medium
"Tanauan Area 35",14.1833,121.1,CALABARZON,Tanauan,Pangarap,,wild_boar,2025-09-20,"2025-09-20 11:00:00",resolved,211,100,58,
"Angono Area 36",14.5346,121.2214,CALABARZON,Angono,,"Farm 36 - Angono",wild_boar,2025-09-21,"2025-09-22 04:00:00",resolved,473,361,390,high
"Cainta Area 37",14.4781,121.1352,CALABARZON,Cainta,,"Farm 37 - Cainta",semi-commercial,2025-09-21,"2025-09-22 03:00:00",contained,375,13,333,
"Tayabas Area 38",13.9337,121.6813,CALABARZON,Tayabas,Maligaya,"Farm 38 - Tayabas",semi-commercial,2025-09-21,"2025-09-23 23:00:00",suspected,406,296,78,high
"Batangas City Area 39",13.8165,121.0113,CALABARZON,"Batangas City",Mabuhay,,backyard,2025-09-22,"2025-09-22 19:00:00",contained,99,63,45,high
"Antipolo Area 40",14.5132,121.1123,CALABARZON,Antipolo,Villa,"Farm 40 - Antipolo",backyard,2025-09-22,"2025-09-22 09:00:00",resolved,40,29,40,
